"year","1","2","3","4","5","6","7","8","9","10"
1968,0.125,0.269,0.36,0.424,0.49,0.539,0.578,0.617,0.648,0.701
1969,0.125,0.267,0.354,0.42,0.487,0.536,0.575,0.613,0.645,0.698
1970,0.125,0.265,0.35,0.413,0.482,0.532,0.571,0.61,0.641,0.694
1971,0.125,0.265,0.348,0.408,0.474,0.526,0.567,0.606,0.637,0.69
1972,0.125,0.266,0.348,0.406,0.468,0.517,0.561,0.601,0.632,0.685
1973,0.125,0.266,0.349,0.405,0.464,0.51,0.55,0.593,0.627,0.679
1974,0.131,0.277,0.364,0.424,0.483,0.529,0.567,0.608,0.646,0.703
1975,0.139,0.291,0.381,0.444,0.508,0.552,0.589,0.628,0.664,0.727
1976,0.145,0.301,0.391,0.454,0.52,0.567,0.601,0.639,0.671,0.73
1977,0.151,0.312,0.4,0.46,0.526,0.574,0.612,0.645,0.675,0.73
1978,0.156,0.323,0.413,0.47,0.532,0.579,0.617,0.653,0.679,0.731
1979,0.161,0.335,0.43,0.488,0.546,0.588,0.625,0.662,0.691,0.74
1980,0.167,0.353,0.455,0.519,0.579,0.617,0.649,0.686,0.716,0.77
1981,0.169,0.369,0.483,0.552,0.619,0.658,0.685,0.716,0.746,0.802
1982,0.164,0.363,0.491,0.57,0.642,0.685,0.712,0.736,0.759,0.814
1983,0.154,0.339,0.464,0.556,0.636,0.681,0.71,0.734,0.748,0.794
1984,0.15,0.321,0.437,0.53,0.626,0.681,0.712,0.739,0.752,0.789
1985,0.149,0.317,0.419,0.506,0.604,0.679,0.722,0.75,0.767,0.804
1986,0.147,0.311,0.41,0.482,0.571,0.65,0.713,0.754,0.773,0.813
1987,0.144,0.306,0.399,0.467,0.54,0.61,0.677,0.739,0.77,0.812
1988,0.141,0.303,0.398,0.462,0.532,0.585,0.645,0.713,0.766,0.822
1989,0.139,0.298,0.397,0.464,0.529,0.58,0.623,0.684,0.744,0.824
1990,0.138,0.292,0.388,0.459,0.527,0.573,0.613,0.654,0.708,0.793
1991,0.137,0.292,0.381,0.449,0.522,0.571,0.606,0.645,0.679,0.756
1992,0.136,0.287,0.378,0.439,0.508,0.563,0.601,0.635,0.666,0.721
1993,0.136,0.287,0.374,0.438,0.499,0.551,0.596,0.633,0.659,0.711
1994,0.137,0.291,0.379,0.438,0.505,0.549,0.591,0.636,0.665,0.712
1995,0.139,0.298,0.39,0.45,0.512,0.563,0.597,0.639,0.678,0.73
1996,0.139,0.3,0.398,0.463,0.525,0.57,0.611,0.644,0.68,0.742
1997,0.139,0.301,0.401,0.473,0.541,0.585,0.619,0.66,0.686,0.746
1998,0.14,0.302,0.404,0.478,0.554,0.603,0.637,0.67,0.704,0.754
1999,0.139,0.301,0.401,0.474,0.552,0.61,0.648,0.681,0.706,0.764
2000,0.136,0.296,0.396,0.468,0.545,0.604,0.651,0.689,0.713,0.761
2001,0.135,0.292,0.391,0.464,0.54,0.599,0.649,0.695,0.725,0.772
2002,0.134,0.285,0.38,0.452,0.527,0.585,0.633,0.682,0.72,0.772
2003,0.133,0.282,0.371,0.438,0.513,0.57,0.617,0.665,0.706,0.767
2004,0.131,0.279,0.366,0.428,0.497,0.555,0.602,0.647,0.687,0.751
2005,0.13,0.277,0.364,0.425,0.488,0.54,0.589,0.635,0.673,0.736
2006,0.13,0.278,0.365,0.427,0.489,0.535,0.579,0.627,0.667,0.728
2007,0.131,0.277,0.366,0.426,0.49,0.535,0.572,0.615,0.656,0.718
2008,0.132,0.282,0.369,0.433,0.497,0.544,0.58,0.616,0.653,0.717
2009,0.135,0.288,0.379,0.44,0.508,0.555,0.593,0.629,0.659,0.718
2010,0.136,0.29,0.383,0.447,0.512,0.562,0.6,0.638,0.667,0.718
2011,0.137,0.292,0.386,0.453,0.52,0.566,0.608,0.644,0.675,0.727
2012,0.136,0.291,0.385,0.451,0.52,0.569,0.605,0.646,0.675,0.728
2013,0.137,0.291,0.386,0.453,0.523,0.574,0.613,0.648,0.682,0.733
2014,0.139,0.297,0.391,0.46,0.531,0.584,0.626,0.664,0.693,0.75
2015,0.138,0.298,0.394,0.46,0.532,0.586,0.629,0.67,0.701,0.753
2016,0.135,0.294,0.391,0.46,0.528,0.582,0.626,0.668,0.702,0.756
2017,0.133,0.287,0.384,0.455,0.526,0.575,0.619,0.662,0.696,0.753
2018,0.133,0.286,0.38,0.451,0.526,0.579,0.618,0.661,0.697,0.754
2019,0.132,0.282,0.376,0.443,0.519,0.575,0.618,0.657,0.692,0.751
2020,0.132,0.282,0.372,0.44,0.511,0.569,0.616,0.658,0.689,0.748
2021,0.132,0.283,0.372,0.437,0.507,0.561,0.61,0.657,0.692,0.746
2022,0.128,0.274,0.363,0.424,0.489,0.541,0.584,0.632,0.671,0.727
2023,0.125,0.266,0.351,0.413,0.474,0.522,0.564,0.605,0.645,0.705
2024,0.123,0.261,0.344,0.403,0.467,0.511,0.548,0.589,0.623,0.684
2025,0.122,0.259,0.341,0.398,0.459,0.506,0.541,0.577,0.611,0.666
